Dispositivo BDI;ENTORNO;APP-SERVICE;SERVICIO;APLICACION SOFTWARE;ESTADO APLICACIÓN;DOCKER;VERSION;URL;Ruta Documentación;USO INTERNO/EXTERNO;OBSERVACION;IP;BBDD
SANSEG02;PRODUCCION;APLICACIÓN;Autoservicio de Claves - Aplicación Gestión de Claves de Dominio ;ManageEngine;BAJA;false;;https://autoservicio.sandetel.int/;;EXTERNO;Se instala la aplicación nueva en SANTI02 y se gestiona con el dominio autoservicio.sandetel.es;;
DESSANCRM01;;;Proyecto CRM de Sandetel;Proyecto CRM de Sandetel;BAJA;;;;;;BAJA Proyecto CRM de Sandetel. Solicitado 28/04 la eliminación con backup quinquenal en SRQ- 1125063 / RAD-1134628 . 14/06/2022. Ejecutada la baja de la RAD-1134628 solicitada en SRQ -1125063;;
SANCRM01;;;Proyecto CRM de Sandetel;Proyecto CRM de Sandetel;BAJA;;;;;;BAJA Proyecto CRM de Sandetel. Solicitado 28/04 la eliminación con backup quinquenal en SRQ- 1125063 / RAD-1134628 . 14/06/2022. Ejecutada la baja de la RAD-1134628 solicitada en SRQ -1125063;;
SANGPT01;PRODUCCION;APLICACIÓN;Documicro y Gestion IP;Documicro y -gestiónIP;BAJA;;;https://gestionip.sandetel.int;;INTERNO;Gestiion IP de baja. Documicro mitrada a SANOFI01;;
SANBOD01;PRODUCCION;SERVICIO;Bodet;software Bodet / KELUX,;ALTA;false;;https://bodet.sandetel.int/;;EXTERNO;"BodetServiceTomcat
BodetServiceSupervisor
Sentinel LDK License Manager
Hora de Windows";;
SANWSU02;PRODUCCION;SERVICIO;Windows Server Update Services del Area TIC Interna;MS WSUS de Area TIC Interna;ALTA;false;;http://10.240.216.27:8530/ https://wsus-ti.sandetel.es;;INTERNO;Para ir por https se pasa por https://wsus-ti.sandetel.es;;
SANSEG04;PRODUCCION;APLICACIÓN;GATE - Control y Gestión Usuarios Externos y sus accesos a la Infr. TIC ;CMDBuild;ALTA;false; 2.5.1;https://gate.sandetel.es/ ;;INTERNO;Vm dada de baja. La url no está en servicio por tanto // El servicio se pasa a SANSEG04 junto cmb interna;;
SANPHP01;PRODUCCION;SERVICIO;Wordpress con el directorio de empresa;Directorio;ALTA;false;;https://directorio.sandetel.es;;EXTERNO;"29/12/2022: BBDD Migrada a SANBDTI01; Se pasa el servicio a la MV SANPHP01 y cambiamos el dominio a .es";;MariaDB - SANBDTI01
SANPHP01;PRODUCCION;SERVICIO;Redirecciona a otra VM;Autoservicio;BAJA;false;;http://admanager.intcdm.sandetel.int:8888/;;EXTERNO;Redirecciona a otra VM (SANSEG02) -- Autoservicio se instala en .es en MB SANTI02;;
SANOFI01;;;Gestor documental ;Gesttdoc;BAJA;false;;https://gestdoc.sandetel.int/;;EXTERNO;Pendiente de montarse. En Junio de 2023 no está montada la aplicación ;;
SANPHP01;PRODUCCION;APLICACIÓN;Nextcloud;Nextcloud;ALTA;false;;https://cloud.sandetel.es;MU-113 Cloud					\\archivo.intcdm.sandetel.int\7.TELE_CDG\5.TEL_PLP\3.GES_PT\Operaciones\Organismos\SAND\Documentos\Aplicaciones\Escritorio\#Ref;EXTERNO;"PHP // 09/2023 --> Se publica en F5 con visibilidad dentro de RCJA; cambio de dominio al .es y uso de certificado wildcard de Sandetel";;SANBDTI01 (MariaDB del Aŕea TI)
